ZIP,PARENT_METRO_REGION,market_score,market_category,Median_Income,county_adj,score_adj,max_ltv,MEDIAN_SALE_PRICE,HOMES_SOLD,MEDIAN_DOM
92254,"Riverside, CA",6.906932658713784,Declining,23840,-1,-5,64,320000.0,1.0,77.0
92508,"Riverside, CA",64.25483561445611,Neutral,54421,-1,0,69,730000.0,86.0,48.0
90277,"Los Angeles, CA",63.71355204435651,Neutral,78560,-2,0,68,985000.0,15.0,26.5
91790,"Los Angeles, CA",56.861414591142804,Neutral,36732,-2,0,68,787521.0,7.0,24.0
92252,"Riverside, CA",35.740696069421794,Neutral,29443,-1,0,69,401750.0,64.0,114.0
91739,"Riverside, CA",60.035588452571375,Neutral,58472,-1,0,69,660000.0,3.0,17.0
92586,"Riverside, CA",35.02996620307549,Neutral,31108,-1,0,69,290000.0,19.0,82.0
92555,"Riverside, CA",45.502990772334904,Neutral,42368,-1,0,69,410000.0,1.0,18.0
92563,"Riverside, CA",61.37231732081139,Neutral,47576,-1,0,69,1270000.0,1.0,13.0
91803,"Los Angeles, CA",52.97397082125431,Neutral,38459,-2,0,68,816000.0,3.0,24.5
90802,"Los Angeles, CA",61.09074297745302,Neutral,49788,-2,0,68,521000.0,112.0,70.0
91016,"Los Angeles, CA",51.21020296735298,Neutral,46914,-2,0,68,1420000.0,5.0,67.0
91364,"Los Angeles, CA",66.08594009300973,Neutral,62293,-2,0,68,1542500.0,48.0,41.5
91351,"Los Angeles, CA",40.09942460807248,Neutral,43504,-2,0,68,372500.0,12.0,66.5
90031,"Los Angeles, CA",60.61080919377697,Neutral,28612,-2,0,68,926000.0,15.0,62.0
91107,"Los Angeles, CA",62.06615238202849,Neutral,57509,-2,0,68,698000.0,13.0,45.0
93536,"Los Angeles, CA",63.80096571984068,Neutral,48208,-2,0,68,540000.0,156.0,54.0
90041,"Los Angeles, CA",83.77613224549953,Prime,48018,-2,2,70,1389750.0,42.0,29.0
90640,"Los Angeles, CA",48.0959571180956,Neutral,33809,-2,0,68,987500.0,6.0,57.5
92337,"Riverside, CA",73.79574582534,Prime,37516,-1,2,71,617500.0,44.0,30.5
90803,"Los Angeles, CA",56.211578755377,Neutral,71891,-2,0,68,640000.0,26.0,50.5
91324,"Los Angeles, CA",53.391675547248994,Neutral,42249,-2,0,68,1220000.0,25.0,46.0
91606,"Los Angeles, CA",51.9195807455341,Neutral,32572,-2,0,68,932000.0,46.0,53.0
92586,"Riverside, CA",59.324844153164555,Neutral,31108,-1,0,69,401000.0,110.0,48.0
92311,"Riverside, CA",50.3625108976072,Neutral,30772,-1,0,69,310000.0,5.0,49.0
91214,"Los Angeles, CA",62.39673564223358,Neutral,62194,-2,0,68,469000.0,3.0,10.0
92399,"Riverside, CA",18.221276165961413,Declining,38972,-1,-5,64,705000.0,2.0,204.5
90026,"Los Angeles, CA",49.970484957451134,Neutral,42782,-2,0,68,805000.0,1.0,28.0
91402,"Los Angeles, CA",57.36989444857986,Neutral,27806,-2,0,68,600000.0,30.0,53.0
90810,"Los Angeles, CA",54.03851133337192,Neutral,32935,-2,0,68,467500.0,1.0,4.0
92301,"Riverside, CA",69.27905631164728,Neutral,29543,-1,0,69,390000.0,75.0,34.0
92284,"Riverside, CA",14.21211768107448,Declining,31992,-1,-5,64,170000.0,1.0,81.0
90023,"Los Angeles, CA",41.09276102928998,Neutral,27071,-2,0,68,750000.0,23.0,52.0
90066,"Los Angeles, CA",64.90408615286343,Neutral,60593,-2,0,68,769000.0,11.0,68.0
93536,"Los Angeles, CA",63.45423042839335,Neutral,48208,-2,0,68,540000.0,151.0,55.0
90255,"Los Angeles, CA",39.71699063077908,Neutral,28130,-2,0,68,490000.0,1.0,122.0
92399,"Riverside, CA",67.77846250760999,Neutral,38972,-1,0,69,609995.0,104.0,45.0
92404,"Riverside, CA",71.14613179002295,Prime,32424,-1,2,71,511000.0,80.0,31.0
90301,"Los Angeles, CA",19.839993375243523,Declining,29798,-2,-5,63,542500.0,2.0,37.5
92236,"Riverside, CA",47.811190318729096,Neutral,31280,-1,0,69,477500.0,26.0,48.0
91601,"Los Angeles, CA",55.53744215066973,Neutral,44236,-2,0,68,1000000.0,49.0,68.0
91789,"Los Angeles, CA",38.940838528057014,Neutral,48861,-2,0,68,750000.0,1.0,2.0
90201,"Los Angeles, CA",19.897289253577526,Declining,26125,-2,-5,63,550000.0,2.0,81.0
92402,"Riverside, CA",,Neutral,,-1,0,69,826750.0,4.0,167.0
92262,"Riverside, CA",49.72770323680278,Neutral,38073,-1,0,69,625000.0,233.0,83.0
90017,"Los Angeles, CA",24.25555061983132,Declining,30557,-2,-5,63,515000.0,16.0,171.5
92316,"Riverside, CA",62.67589122487854,Neutral,33864,-1,0,69,560000.0,25.0,28.0
91790,"Los Angeles, CA",75.97517266282408,Prime,36732,-2,2,70,867000.0,44.0,29.0
90265,"Los Angeles, CA",39.06460068413441,Neutral,77274,-2,0,68,5575000.0,18.0,78.5
